Username,User ID,Skill Rating,Title
Motion,3885626,4981,Beyond
OYG,7547506,4537,Legend
ArMa79,4982799,4534,Grandmaster
Camme79,5220794,4489,Grandmaster
Rells,7937519,4472,Grandmaster
YesMyDarknesss,4158549,4462,Grandmaster
Groex,3970664,4439,Grandmaster
SirGonzaxz,17309439,4439,Grandmaster
-Story-,8172283,4426,Legend
Lexii,7226149,4404,Grandmaster
Netamaru,1830361,4399,Grandmaster
_Insomnia,8928855,4397,Grandmaster
coolkid,7620002,4397,Grandmaster
b-a-d-s123,3656717,4376,Grandmaster
Ttobas,2084568,4365,Grandmaster
Secre,2306637,4358,Grandmaster
AutoLs,9155988,4356,Grandmaster
Dusk,533210,4325,Legend
Rocma,566276,4320,Grandmaster
Mrbinking,6492475,4311,Grandmaster
Colin,5502521,4302,Grandmaster
-Kaguya,5351518,4301,Grandmaster
Dika312,741613,4297,Grandmaster
XXXZ,2111624,4290,Grandmaster
Ash Ketchum,7297777,4287,Grandmaster
Marvmallow,8403032,4266,Grandmaster
JISAN,3657951,4264,Grandmaster
Lume,4691991,4264,Grandmaster
sularis,14571181,4238,Grandmaster
Bunnrei,829284,4233,Grandmaster
Electr0o,9484428,4233,Grandmaster
Roido,6829103,4215,Grandmaster
Dahcreeper,6926006,4214,Grandmaster
Aryssiel,2389481,4209,Grandmaster
-Filow-,3157472,4205,Grandmaster
KitsunIvy,7055384,4180,Grandmaster
Spectator,702598,4178,Grandmaster
Veeti,12863098,4175,Grandmaster
Trent,3438241,4170,Grandmaster
ti gnida,14254962,4165,Grandmaster
DoDoEbi,1177233,4144,Grandmaster
trig0n,3704228,4140,Grandmaster
Golterboose,4327130,4136,Grandmaster
Nipah,7180810,4120,Grandmaster Candidate
YERTI,1490757,4119,Grandmaster Candidate
Katsuragi,3616480,4117,Grandmaster Candidate
rostld,4365562,4097,Grandmaster
VelperK,348467,4081,Grandmaster
XisK,3835436,4072,Grandmaster Candidate
Coevir,3171965,4070,Grandmaster
Unlucky_w,4820793,4061,Grandmaster Candidate
NoteKuroi,186642,4059,Grandmaster
ExGon,214187,4057,Legend
LechuCzechu88,5251714,4048,Grandmaster
Boros,5490623,4039,Grandmaster Candidate
Kimitakari,4741164,4038,Grandmaster Candidate
BoberOfDarkness,3427748,4017,Grandmaster Candidate
Sleqzy,14275846,4012,Grandmaster Candidate
Crystal,1646397,4007,Grandmaster
Inryoku,6562920,3990,Master
BIG H ZONDA KIT,16352736,3989,Master
Leinou,7024526,3985,Master
Lunati1kid,25723773,3983,Grandmaster
Holloh,7612994,3979,Master
Abstract-,3097304,3978,Legend
The 47th,4990320,3978,Master
Stardust Prism,8525921,3967,Master
Molqus,1927193,3963,Master
Cameragod,4974088,3954,Master
Dutchman,10552580,3953,Master
Nene Sakura,6701104,3951,Master
Zelepha,6201167,3947,Master
Sounny,7326109,3945,Master
vafara,18917363,3940,Master
Indomitable,19953508,3940,Master
Cold Fusion,15389158,3932,Master
Jakkubon,3396013,3930,Master
Phob,6069462,3928,Master
skvix,4447639,3921,Master
-Rustyy,16355636,3907,Master
SirWaffle79,11754842,3902,Master
GiGas,7300747,3899,Master
Chroneko,5472877,3894,Master
- Kielzu -,6221114,3889,Master
Suigetsu Kyouka,1311496,3886,Master
Beerus,5529199,3886,Master
ElSkeffe,6283136,3884,Master
Dea ex machina,3922569,3881,Master
MaryJane,11017055,3873,Master
M a s t e r,1850067,3862,Master
gal1,9424481,3861,Master
Maririn,1626093,3859,Master
Vito79,4039895,3856,Master
-Blacky-,7551572,3855,Master
Matt_H,4067115,3852,Master
Yoshi_green,1035891,3851,Master
JonZku,12740132,3849,Master
DakkyChan,2107017,3848,Master
Smukur,6434318,3845,Master
Revi-,3880553,3844,Master
madcin,2957534,3838,Master
Stark,1565036,3836,Master
KWYJIBO,7178386,3832,Master
RedcXca,14056601,3829,Master
Katsue,22708842,3825,Master
Thaemine,32442896,3821,Master
Eyminz,13845399,3818,Master
dont play ctb,7143968,3814,Master
Kyptoric,1361268,3814,Legend
Tohtori G-piste,6109660,3814,Master
Makenshi,13111206,3803,Master
Naarkz,19490380,3802,Master
Korglif,2568961,3798,Master
Daletto,7592136,3797,Master
Chatie,6524765,3795,Master
ThanaR,3834323,3795,Master
Re1ax7,7162114,3789,Master
CyCeph,4586304,3788,Special
BlackBear,11056733,3788,Master
EpanPan,13194580,3786,Master
Rakety,11109479,3786,Master
Kenny331,11534285,3784,Master
Gersonfull,2407347,3781,Master
sd enjoyer,16669841,3781,Master
Byeol,2754651,3776,Master
Nikolai,5302804,3771,Master
lgor,10769450,3769,Master
Verti,10674528,3762,Master
ArthurEdikovich,18171621,3757,Master
FABninja,5257769,3756,Master
Memoriola,6856387,3749,Master
Setomi,2205929,3749,Master
SHK,2660111,3748,Master
Mniam,6050530,3739,Master
Jezse,11390632,3737,Master
monstratorfull,1872276,3733,Master
Serestia,30511396,3732,Master
Ponchiwi,1089040,3732,Master
DreStar,1808057,3728,Master
Osjux,7161836,3727,Master
Funtastic,3555626,3725,Master
_Chicken_,7649169,3723,Master
SharpN,4382076,3719,Master
[ Seraf ],6376151,3716,Master
Breath,24092731,3714,Master
zerokt,13776127,3713,Master
Blue Vaporous,8800023,3713,Master
Vaqu,14714724,3712,Master
wonderleif,14744799,3711,Master
eisuke0530,9814770,3710,Master
fujipuji,18531265,3709,Grandmaster
-Shinai-,11286034,3708,Master
Shameimaru,20340480,3702,Master
[Amazing],1391036,3696,Master
Catch The Beat,1252928,3694,Master
HydriZ,14329375,3690,Master
Sakhalin79,11158870,3688,Master
Mashiro Mama,10415976,3687,Master
FruktoLove,8417087,3685,Master
Crystallize,4997316,3684,Master
Keisuu,3856673,3684,Master
WOAH0,18336339,3681,Master
ZX123456,489271,3680,Master
Kasumi,2331531,3679,Master
sawarabi,29847781,3679,Master
Carrotline,11635773,3679,Master
Eliminate,9169747,3678,Master
Edgar_Figaro,6508754,3675,Master
TheFrozenGamer,2756781,3667,Master
Sanami,1629471,3666,Master
CamXDanna,3243148,3663,Master
Dedot,8805157,3656,Master
Urabe Mikoto,1272422,3655,Master
Konohana Lucia,8642224,3654,Master
Hana Yukiko,4964095,3654,Master
Noctalium,6488167,3652,Master
Vinci007,5030297,3651,Master
Mochi -,20424806,3650,Master
Titan-,7855767,3649,Master
Callionet,3072921,3649,Master
daxeroz,1170156,3649,Master
Niisan,19515018,3648,Master
Pekorrat,1250096,3647,Master
tsubaki131,3749666,3647,Master
Soruki,11762423,3644,Master
Latifah-sama,1226238,3642,Master
ExNando,5960935,3641,Master
Cyan54,7931526,3638,Master
-Nirfu-,7332050,3634,Master
Nikaido Shinku,2455926,3631,Master
Zyonii,9519851,3629,Master
Zellen,17405762,3625,Master
-Rindou-,7941971,3619,Master
littlepiggod,12331683,3617,Master
Shu,4744615,3616,Master
[224]Reol,3313041,3614,Master
DevilFace,2253026,3613,Master
Pitsuwa,8417565,3611,Master
DataPata,985360,3609,Master
S B K,29783499,3609,Master
Kosmit,1749173,3606,Master
Adeus,2693723,3605,Master
Nekuro,3222638,3603,Master
hiroshiki,2667256,3602,Master
fireyun06,6583168,3600,Master
