Number of Values,Sorted Insertion,Sorted Search,Sorted Deletion,Shuffled Insertion,Shuffled Search,Shuffled Deletion,Reversed Insertion,Reversed Search,Reversed Deletion
1000,3918500,346400,571900,337300,506900,313000,247400,184500,349900
2000,7244300,608500,1042200,912700,742500,740000,546800,516900,640300
3000,9252200,1260200,1530000,1379400,1309100,1290500,821700,754400,910500
4000,12079100,2436200,2781900,2411900,1864300,1864200,829900,1141100,1216600
5000,10516900,2659500,2099100,1201400,2163500,1904400,1137400,949600,799900
6000,10365800,2469200,2192000,1410400,1867900,2132900,1510100,1670800,1521300
7000,17486100,4520200,3143600,2833600,2925500,2602200,1467100,1294900,1113800
8000,21142800,3851500,4379200,3621400,3958800,3729200,2240300,2719900,2766000
9000,19752900,3694500,3985100,2864500,3362300,4103800,1166400,1247400,1121500
9990,23372800,3031900,3140700,4593200,4442400,3596800,1633800,1553400,1438200
